step	generator	AUROC	TPR_at_1pct_FPR
45	gpt-4-turbo-paraphrase	0.9989	0.9661
45	gpt-4.5-preview	0.9896	0.8444
45	gpt-4o	0.9998	0.9904
45	gpt-4o-mini	0.9999	0.9953
45	llama-2-70b-chat	1.0000	1.0000
45	llama-2-7b-chat	0.9990	0.9722
45	llama-3.1-8b-instruct	0.9748	0.7911
45	llama-3.3-70b-instruct	0.9979	0.9630
45	ministral-8b-instruct-2410	0.9972	0.9424
45	mistral-7b-instruct-v0.2	0.9989	0.9412
45	mixtral-8x7b-instruct-v0.1	0.9980	0.9429
45	o3-mini	0.9992	0.9773
45	qwen1.5-72b-chat-8bit	1.0000	1.0000
45	text-bison-002	0.9992	0.9710
45	MACRO_AVG	0.9951	0.9416
45	GLOBAL_TPR_AT_1FPR	-	0.9433
50	deepseek-r1-distill-qwen-32b	0.9987	0.9623
50	falcon3-10b-instruct	0.9984	0.9912
50	gemini-1.5-pro	0.9582	0.8138
50	gemini-2.0-flash	0.9960	0.9353
50	gemini-pro	0.9968	0.8983
50	gemini-pro-paraphrase	0.9916	0.8429
50	gpt-3.5-turbo	0.9998	0.9900
50	gpt-4-turbo	0.9995	0.9841
50	gpt-4-turbo-paraphrase	0.9989	0.9661
50	gpt-4.5-preview	0.9896	0.8444
50	gpt-4o	0.9998	0.9904
50	gpt-4o-mini	0.9999	0.9953
50	llama-2-70b-chat	1.0000	1.0000
50	llama-2-7b-chat	0.9990	0.9722
50	llama-3.1-8b-instruct	0.9748	0.7911
50	llama-3.3-70b-instruct	0.9979	0.9630
50	ministral-8b-instruct-2410	0.9972	0.9424
50	mistral-7b-instruct-v0.2	0.9989	0.9412
50	mixtral-8x7b-instruct-v0.1	0.9980	0.9429
50	o3-mini	0.9992	0.9773
50	qwen1.5-72b-chat-8bit	1.0000	1.0000
50	text-bison-002	0.9992	0.9710
50	MACRO_AVG	0.9951	0.9416
50	GLOBAL_TPR_AT_1FPR	-	0.9433
55	deepseek-r1-distill-qwen-32b	0.9987	0.9623
55	falcon3-10b-instruct	0.9984	0.9912
55	gemini-1.5-pro	0.9582	0.8138
55	gemini-2.0-flash	0.9960	0.9353
55	gemini-pro	0.9968	0.8983
55	gemini-pro-paraphrase	0.9916	0.8429
55	gpt-3.5-turbo	0.9998	0.9900
55	gpt-4-turbo	0.9995	0.9841
55	gpt-4-turbo-paraphrase	0.9989	0.9661
55	gpt-4.5-preview	0.9896	0.8444
55	gpt-4o	0.9998	0.9904
55	gpt-4o-mini	0.9999	0.9953
55	llama-2-70b-chat	1.0000	1.0000
55	llama-2-7b-chat	0.9990	0.9722
55	llama-3.1-8b-instruct	0.9748	0.7911
55	llama-3.3-70b-instruct	0.9979	0.9630
